Order,Family,Binomial,Parental care,Dry weight,Lifetime fecundity,Egg volume
Hymenoptera,Sphecidae,Sceliphron_assimile,No care,104.09,20,*
Hymenoptera,Sphecidae,Sceliphron_laetum,No care,104.09,8,12.57
Hymenoptera,Sphecidae,Trypoxylon_palliditarse,No care,50.78,9.5,*
Hymenoptera,Tenthredinidae,Athalia_rosae,No care,3.87,51,*
Hymenoptera,Tenthredinidae,Hoplocampa_crataegi,No care,1.78,69,*
Hymenoptera,Tenthredinidae,Trichiocampus_viminalis,No care,12.03,85,*
Hymenoptera,Tiphiidae,Tiphia_popilliavora,No care,6.78,36,*
Hymenoptera,Trichogrammatidae,Trichogramma_cacoeciae,No care,0.01,14,*
Hymenoptera,Trichogrammatidae,Trichogramma_embryophagum,No care,0.01,2.5,*
Hymenoptera,Trichogrammatidae,Trichogramma_evanescens,No care,0,57,*
Hymenoptera,Trichogrammatidae,Trichogramma_minutum,No care,0.01,29,*
Hymenoptera,Trichogrammatidae,Trichogramma_ostriniae,No care,0.01,54,*
Lepidoptera,Cosmopterygidae,Eteobalea_intermediella,No care,10.54,180,*
Lepidoptera,Cosmopterygidae,Eteobalea_serratella,No care,14.04,180,*
Lepidoptera,Cossidae,Cossus_cossus,No care,675.91,1000,*
Lepidoptera,Cossidae,Zeuzera_pyrina,No care,240.82,851,*
Lepidoptera,Gelechiidae,Metzneria_paucipunctella,No care,4.3,80,*
Lepidoptera,Geometridae,Chiasmia_clathrata,No care,4.34,325,*
Lepidoptera,Gracilariidae,Lithocolletis_blancardella,No care,0.07,12,*
Lepidoptera,Hepialidae,Hepialus_humuli,No care,76.01,600,*
Lepidoptera,Lymantriidae,Euproctis_chrysorrhoea,No care,27.29,175,*
Lepidoptera,Lymantriidae,Lymantria_dispar,No care,29.96,680,*
Lepidoptera,Lymantriidae,Stilpnotia_salicis,No care,89.99,350,*
Lepidoptera,Noctuidae,Agrotis_segetum,No care,49.92,2788,*
Lepidoptera,Noctuidae,Calophasia_lunula,No care,41.6,250,0.3
Lepidoptera,Noctuidae,Heliothis_armigera,No care,36.9,800,*
Lepidoptera,Noctuidae,Heliothis_zea,No care,36.9,80,*
Lepidoptera,Notodontidae,Phalera_bucephala,No care,208.04,270,*
Lepidoptera,Nymphalidae,Hypolimnas_anomala,Guarding,35.95,565,1.15
Lepidoptera,Pieridae,Pieris_napi,No care,21.03,362.5,*
Lepidoptera,Pieridae,Pieris_rapae,No care,23.96,350,*
Lepidoptera,Pyralidae,Chilo_suppresalis,No care,9.68,85,1.51
Lepidoptera,Pyralidae,Corcyra_cephalonica,No care,2.59,116,*
Lepidoptera,Pyralidae,Cryptoblabes_gnidiella,No care,1.47,150,*
Lepidoptera,Pyralidae,Ectomyelois_ceratoniae,No care,10.04,125,*
Lepidoptera,Pyralidae,Etiella_zinckenella,No care,2.27,33,*
Lepidoptera,Pyralidae,Margaronia_unionalis,No care,14.39,590,*
Lepidoptera,Pyralidae,Nomophila_noctuella,No care,8.93,258,*
Lepidoptera,Pyralidae,Plodia_interpunctella,No care,3.23,250,*
Lepidoptera,Saturniidae,Antheraea_yamamai,No care,649.63,114,68.07
Lepidoptera,Saturniidae,Samia_cynthia,No care,169.59,400,6.28
Lepidoptera,Sesiidae,Chamaesphecia_hungarica,No care,25.62,150,*
Lepidoptera,Tineidae,Tineola_bisselliella,No care,1.06,80,*
Lepidoptera,Tortricidae,Agapeta_zoegana,No care,4.18,49.5,*
Lepidoptera,Tortricidae,Archips_rosanus,No care,2,147,*
Lepidoptera,Tortricidae,Enarmonia_formosana,No care,3.78,49,*
Lepidoptera,Tortricidae,Epiphyas_postvittana,No care,2.27,309.59,2.68
Lepidoptera,Tortricidae,Pammene_juliana,No care,2.14,180,*
Lepidoptera,Tortricidae,Pandemis_ribeana,No care,1.47,313,*
Lepidoptera,Tortricidae,Pelochrista_medullana,No care,9.02,120,*
Lepidoptera,Tortricidae,Spilonota_ocellana,No care,1.33,180,*
Megaloptera,Sialidae,Sialis_lutaria,No care,7.96,725,*
Neuroptera,Chrysopidae,Chrysopa_madestes,No care,3.09,42.5,*
Neuroptera,Chrysopidae,Chrysopa_oculata,No care,6.61,185,*
Neuroptera,Chrysopidae,Chrysopa_rufilabris,No care,2.71,31,0.6
Neuroptera,Chrysopidae,Chrysoperla_carnea,No care,53.74,*,0.6
Neuroptera,Sympherobiidae,Sympherobius_amicus,No care,0.93,250,*
Orthoptera,Acrididae,Locustana_pardalina,No care,380.59,320,*
Orthoptera,Acrididae,Nomadacris_septemfasciata,No care,943.76,388,*
Orthoptera,Acrididae,Schistocerca_gregaria,No care,1016.53,317,*
Orthoptera,Gryllidae,Anurogryllus_muticus,Provisioning,109.29,22.5,9.84
Orthoptera,Gryllidae,Gryllodes_sigillatus,No care,110.22,138,*
Orthoptera,Gryllidae,Gryllus_campestris,No care,404.21,850,*
Orthoptera,Gryllotalpidae,Gryllotalpa_africana,Provisioning,377.19,*,17.68
Phthiraptera,Pediculidae,Pediculus_humanus,No care,0.25,250,*
Phthiraptera,Phthiridae,Phthirus_pubis,No care,0.04,26,*
Siphonaptera,Pulicidae,Pulex_irritans,No care,0.52,450,0.07
Thysanoptera,Phlaeothripidae,Elaphrothrips_tuberculatus,Guarding,6.55,47,*
Trichoptera,Leptoceridae,Mystacides_longicornis,No care,1.77,237.5,*
Trichoptera,Limnephilidae,Drusus_annulatus,No care,3.24,240,*
Trichoptera,Limnephilidae,Limnephilus_flavicornis,No care,18.61,343,0.02
Trichoptera,Limnephilidae,Limnephilus_lunatus,No care,14.01,328.5,*
